SDA,type,post,meas,treat,sfy,rgrp4,rgrp3,rgrp9,rgrp6,tot_tvst
Travis SDA,all,-1,nclient,1,2013,391,185,23,,599
Travis SDA,all,-1,nclient,1,2014,658,250,53,29,961
Travis SDA,all,-1,nclient,1,2015,591,330,79,19,1000
Travis SDA,all,-1,nclient,1,2016,594,410,95,,1099
Travis SDA,all,-1,nclient,1,2017,310,444,68,3,822
Travis SDA,all,-1,nclient,1,2018,490,344,54,1,888
Travis SDA,all,-1,nclient,0,2013,2657,1473,578,3,4708
Travis SDA,all,-1,nclient,0,2014,2449,1294,519,2,4262
Travis SDA,all,-1,nclient,0,2015,4412,5629,2214,22,12255
Travis SDA,all,-1,nclient,0,2016,5284,8359,2893,10,16536
Travis SDA,all,-1,nclient,0,2017,4936,9255,2601,20,16792
Travis SDA,all,-1,nclient,0,2018,5616,10742,3655,38,20013
,ed,1,cnt,1,2013,0.2121212121,0.1666666667,,,0.3787878788
,ed,1,cnt,1,2014,0.1444444444,,,,0.1444444444
,ed,1,cnt,1,2015,,0,,,0
,ed,1,cnt,1,2016,0,0,,,0
,ed,1,cnt,1,2017,0.3333333333,0,,,0.3333333333
,ed,1,cnt,1,2018,,0,,,0
,ed,1,cnt,0,2013,0.1864686469,0.2,0.1666666667,,0.5531353135
,ed,1,cnt,0,2014,0.1495726496,0,0,0.3333333333,0.1495726496
,ed,1,cnt,0,2015,0.1458333333,0.1666666667,0,,0.3125
,ed,1,cnt,0,2016,0.130952381,0.0277777778,0,0,0.1587301587
,ed,1,cnt,0,2017,0.0804597701,0.0555555556,0,0,0.1360153257
,ed,1,cnt,0,2018,0.0833333333,0,0.25,,0.5833333333
,ed,1,cost,1,2013,94.848257123,18.289999644,,,113.13825677
,ed,1,cost,1,2014,48.647667101,,,,48.647667101
,ed,1,cost,1,2015,,0,,,0
,ed,1,cost,1,2016,0,0,,,0
,ed,1,cost,1,2017,219.99833849,0,,,219.99833849
,ed,1,cost,1,2018,,0,,,0
,ed,1,cost,0,2013,82.358135324,75.988668315,62.673334757,,221.0201384
,ed,1,cost,0,2014,88.940399456,0,0,203.36417643,88.940399456
,ed,1,cost,0,2015,33.065832456,47.302998098,0,,80.368830554
,ed,1,cost,0,2016,113.29738217,2.889166726,0,0,116.1865489
,ed,1,cost,0,2017,62.24074857,48.204443614,0,0,110.44519218
,ed,1,cost,0,2018,4.3994445514,0,164.68499756,,333.76943967
,inp,0,cnt,1,2013,0.0378787879,0.5,,,0.5378787879
,inp,0,cnt,1,2014,0.1444444444,,,,0.1444444444
,inp,0,cnt,1,2015,,0,,,0
,inp,0,cnt,1,2016,0,0,,,0
