SDA,type,post,meas,treat,sfy,rgrp4,rgrp3,rgrp9,rgrp6,tot_tvst
Harris SDA,inp,1,cnt,0,2015,0.0449619215,0.006868305,0.0498660316,0.1063829787,0.2278295235
Harris SDA,inp,1,cnt,0,2016,0.0388509713,0.0069270107,0.0642827857,0.0550786838,0.2345805928
Harris SDA,inp,1,cnt,0,2017,0.0398060986,0.0072279749,0.0578703704,0.0473776994,0.2333030816
Harris SDA,inp,1,cnt,0,2018,0.0308947108,0.0056069881,0.0527521466,0.0455835604,0.1909472007
Harris SDA,inp,1,cost,1,2013,745.96760203,579.00236758,393.81468992,804.89517514,1759.1759098
Harris SDA,inp,1,cost,1,2014,538.49497798,613.85235115,274.87388021,679.42787097,2513.6655892
Harris SDA,inp,1,cost,1,2015,490.22374023,514.83595327,113.86783626,582.06597015,1342.6026102
Harris SDA,inp,1,cost,1,2016,541.64940255,545.99004404,112.88897222,16.89595,1362.2512383
Harris SDA,inp,1,cost,1,2017,684.53828902,510.87242297,192.1016895,13.508227401,1715.2636946
Harris SDA,inp,1,cost,1,2018,690.49673749,384.45365662,300.10417258,20.010801887,2001.5492534
Harris SDA,inp,1,cost,0,2013,401.41298975,41.60387713,268.57189606,181.81658492,1517.7233079
Harris SDA,inp,1,cost,0,2014,355.76246033,55.953405043,287.52871408,329.12219298,1465.5799278
Harris SDA,inp,1,cost,0,2015,342.1285208,53.475700693,181.19639724,291.12817629,1163.9844868
Harris SDA,inp,1,cost,0,2016,653.8670018,125.14818879,266.26979207,281.02169671,1579.851751
Harris SDA,inp,1,cost,0,2017,611.6524127,126.88131468,228.27411511,245.69367489,1526.6657269
Harris SDA,inp,1,cost,0,2018,526.80228852,95.64067045,262.61590991,194.71836342,1369.0115318
Harris SDA,mce,0,cnt,1,2013,0.0001489425,0,0.003875969,0,0.0044224468
Harris SDA,mce,0,cnt,1,2014,0.0001693767,0,0,0,0.0001693767
Harris SDA,mce,0,cnt,1,2015,0.0002298851,0.0003115265,0,0,0.0005414115
Harris SDA,mce,0,cnt,1,2016,0,0.0003387534,0,0,0.0003387534
Harris SDA,mce,0,cnt,1,2017,0,0,0,0.0007062147,0
Harris SDA,mce,0,cnt,1,2018,0.0006027728,0,0,0,0.0006027728
Harris SDA,mce,0,cnt,0,2013,0.0001674369,0.0000412592,0,0,0.0002086961
Harris SDA,mce,0,cnt,0,2014,0.0002800075,0.000025888,0.000324728,0,0.0013423343
Harris SDA,mce,0,cnt,0,2015,0.000244093,0.0002362949,0.0003473256,0.0005065856,0.0017079387
Harris SDA,mce,0,cnt,0,2016,0.0001875047,0.0002217216,0.0004100041,0.000286123,0.0016608431
Harris SDA,mce,0,cnt,0,2017,0.0004123421,0.0001860811,0.0002630471,0.0002938152,0.0014613129
Harris SDA,mce,0,cnt,0,2018,0.0002718735,0.0001489576,0.0002563117,0.0001702997,0.0011719693
Harris SDA,mce,0,cost,1,2013,9.2699806375,0,87.342170543,0,105.57032252
Harris SDA,mce,0,cost,1,2014,2.1590616531,0,0,0,2.1590616531
Harris SDA,mce,0,cost,1,2015,0.0198689655,6.5879626168,0,0,6.6078315823
Harris SDA,mce,0,cost,1,2016,0,0.0320020325,0,0,0.0320020325
Harris SDA,mce,0,cost,1,2017,0,0,0,9.0814830508,0
Harris SDA,mce,0,cost,1,2018,0.2731871609,0,0,0,0.2731871609
Harris SDA,mce,0,cost,0,2013,3.5546500569,0.319228865,0,0,3.8738789219
Harris SDA,mce,0,cost,0,2014,4.4857566424,0.0202718235,1.7092758565,0,8.4265140791
Harris SDA,mce,0,cost,0,2015,0.8479894064,5.571844833,11.88595713,0.0160081054,62.84734405
Harris SDA,mce,0,cost,0,2016,2.4730942024,2.396778493,4.078128917,0.1668769671,17.401244976
Harris SDA,mce,0,cost,0,2017,2.6950824684,3.9541646052,1.9994091961,3.2535000735,13.72280833
Harris SDA,mce,0,cost,0,2018,2.6042347998,1.9629738116,2.3879881135,2.1051316985,11.261464694
Harris SDA,mce,1,cnt,1,2013,0,0,0.003875969,0,0.0042735043
Harris SDA,mce,1,cnt,1,2014,0.0001693767,0,0,0,0.0001693767
Harris SDA,mce,1,cnt,1,2015,0.0002298851,0.0003115265,0,0,0.0005414115
Harris SDA,mce,1,cnt,1,2016,0.0002060157,0,0,0.0008333333,0.0002060157
Harris SDA,mce,1,cnt,1,2017,0.0004923683,0,0,0.0003531073,0.0004923683
Harris SDA,mce,1,cnt,1,2018,0.0003013864,0.000436872,0,0,0.0007382584
Harris SDA,mce,1,cnt,0,2013,0.0001674369,0.0001031481,0,0.0004541326,0.000270585
Harris SDA,mce,1,cnt,0,2014,0.0003422313,0.0001294398,0.000162364,0,0.000984001
Harris SDA,mce,1,cnt,0,2015,0.0004637766,0.0002047889,0.0005457974,0,0.002305806
Harris SDA,mce,1,cnt,0,2016,0.0003250081,0.0002646354,0.0006735782,0.0004291845,0.0026519283
Harris SDA,mce,1,cnt,0,2017,0.0003721136,0.0001641892,0.0004734848,0.0004407228,0.0019240594
Harris SDA,mce,1,cnt,0,2018,0.0002224419,0.0002023575,0.0002723312,0.0004541326,0.0012203229
Harris SDA,mce,1,cost,1,2013,0,0,0.4431782946,0,0.4886324786
Harris SDA,mce,1,cost,1,2014,2.8214075203,0,0,0,2.8214075203
Harris SDA,mce,1,cost,1,2015,1.5642344828,19.675700935,0,0,21.239935417
Harris SDA,mce,1,cost,1,2016,1.9193428101,0,0,0.1074,1.9193428101
Harris SDA,mce,1,cost,1,2017,0.0441038897,0,0,2.2884498588,0.0441038897
Harris SDA,mce,1,cost,1,2018,0.045465642,2.0413695937,0,0,2.0868352357
Harris SDA,mce,1,cost,0,2013,0.9708509142,0.5025646738,0,27.680708447,1.4734155881
Harris SDA,mce,1,cost,0,2014,2.0501375148,0.913478047,2.5660228933,0,12.863819037
Harris SDA,mce,1,cost,0,2015,6.4718346026,1.6990897921,4.6129522675,0,23.218258139
Harris SDA,mce,1,cost,0,2016,4.0699328733,2.6943078711,4.9398289697,1.4612217454,21.688133957
Harris SDA,mce,1,cost,0,2017,2.7092340494,1.367323606,6.5425957492,6.5919413839,22.582993816
Harris SDA,mce,1,cost,0,2018,3.3959236283,3.2829320753,1.0001666026,8.467094119,9.685318053
Harris SDA,mcm,0,cnt,1,2013,0.1666666667,0,0.1666666667,0,0.3333333333
Harris SDA,mcm,0,cnt,1,2014,0.1666666667,0,0,0,0.1666666667
Harris SDA,mcm,0,cnt,1,2015,0.1666666667,0.1666666667,0,0,0.3333333333
Harris SDA,mcm,0,cnt,1,2016,0,0.1666666667,0,0,0.1666666667
Harris SDA,mcm,0,cnt,1,2017,0,0,0,0.1666666667,0
Harris SDA,mcm,0,cnt,1,2018,0.1666666667,0,0,0,0.1666666667
Harris SDA,mcm,0,cnt,0,2013,0.1666666667,0.1666666667,0,0,0.3333333333
Harris SDA,mcm,0,cnt,0,2014,0.1666666667,0.1666666667,0.1666666667,0,0.8333333333
Harris SDA,mcm,0,cnt,0,2015,0.1851851852,0.1666666667,0.1666666667,0.1666666667,0.8518518519
Harris SDA,mcm,0,cnt,0,2016,0.1666666667,0.1781609195,0.1666666667,0.3333333333,0.8448275862
Harris SDA,mcm,0,cnt,0,2017,0.1708333333,0.1770833333,0.1666666667,0.1666666667,0.8479166667
Harris SDA,mcm,0,cnt,0,2018,0.1666666667,0.1766666667,0.1666666667,0.1666666667,0.8433333333
Harris SDA,mcm,0,cost,1,2013,10373.108333,0,3755.7133333,0,14128.821667
Harris SDA,mcm,0,cost,1,2014,2124.5166667,0,0,0,2124.5166667
Harris SDA,mcm,0,cost,1,2015,14.405,3524.56,0,0,3538.965
Harris SDA,mcm,0,cost,1,2016,0,15.745,0,0,15.745
Harris SDA,mcm,0,cost,1,2017,0,0,0,2143.23,0
Harris SDA,mcm,0,cost,1,2018,75.53625,0,0,0,75.53625
Harris SDA,mcm,0,cost,0,2013,3538.2986667,1289.525,0,0,4827.8236667
Harris SDA,mcm,0,cost,0,2014,2670.022037,130.51,877.28583333,0,6278.3962037
Harris SDA,mcm,0,cost,0,2015,643.3412963,3930.0078889,5703.5614286,5.2666666667,17885.86363
Harris SDA,mcm,0,cost,0,2016,2198.251,1925.8941667,1657.7594048,194.41166667,8385.231
Harris SDA,mcm,0,cost,0,2017,1116.5726667,3762.9642708,1266.8256667,1845.5479167,9621.4694375
Harris SDA,mcm,0,cost,0,2018,1596.4748485,2328.1262,1552.7892708,2060.2222222,7406.1957846
Harris SDA,mcm,1,cnt,1,2013,0,0,0.1666666667,0,0.1666666667
Harris SDA,mcm,1,cnt,1,2014,0.1666666667,0,0,0,0.1666666667
Harris SDA,mcm,1,cnt,1,2015,0.1666666667,0.1666666667,0,0,0.3333333333
Harris SDA,mcm,1,cnt,1,2016,0.1666666667,0,0,0.1666666667,0.1666666667
Harris SDA,mcm,1,cnt,1,2017,0.3333333333,0,0,0.1666666667,0.3333333333
Harris SDA,mcm,1,cnt,1,2018,0.1666666667,0.1666666667,0,0,0.3333333333
Harris SDA,mcm,1,cnt,0,2013,0.1666666667,0.1666666667,0,0.1666666667,0.3333333333
Harris SDA,mcm,1,cnt,0,2014,0.1666666667,0.1666666667,0.1666666667,0,0.6666666667
Harris SDA,mcm,1,cnt,0,2015,0.1666666667,0.1666666667,0.1833333333,0,0.8666666667
Harris SDA,mcm,1,cnt,0,2016,0.1666666667,0.181372549,0.1916666667,0.1666666667,0.9591503268
Harris SDA,mcm,1,cnt,0,2017,0.1761904762,0.1744186047,0.1875,0.1666666667,0.957751938
Harris SDA,mcm,1,cnt,0,2018,0.1875,0.1791044776,0.2023809524,0.1666666667,0.9558901919
Harris SDA,mcm,1,cost,1,2013,0,0,19.056666667,0,19.056666667
Harris SDA,mcm,1,cost,1,2014,2776.265,0,0,0,2776.265
Harris SDA,mcm,1,cost,1,2015,1134.07,10526.5,0,0,11660.57
Harris SDA,mcm,1,cost,1,2016,1552.7483333,0,0,21.48,1552.7483333
Harris SDA,mcm,1,cost,1,2017,29.858333333,0,0,1080.1483333,29.858333333
Harris SDA,mcm,1,cost,1,2018,25.1425,778.7825,0,0,803.925
Harris SDA,mcm,1,cost,0,2013,966.385,812.044,0,10158.82,1778.429
Harris SDA,mcm,1,cost,0,2014,998.4169697,1176.1943333,2634.0225,0,7442.656303
Harris SDA,mcm,1,cost,0,2015,2325.7729825,1382.7976923,1549.4906667,0,10776.502591
Harris SDA,mcm,1,cost,0,2016,2087.0928846,1846.5914461,1405.6283333,567.44111111,8902.3466085
Harris SDA,mcm,1,cost,0,2017,1282.783619,1452.5110465,2590.8679167,2492.8525,12354.676094
Harris SDA,mcm,1,cost,0,2018,2862.480625,2905.6888806,743.26666667,3107.4235417,8220.4283548
Harris SDA,mcn,0,cnt,1,2013,1,0,1,0,2
Harris SDA,mcn,0,cnt,1,2014,1,0,0,0,1
Harris SDA,mcn,0,cnt,1,2015,1,1,0,0,2
Harris SDA,mcn,0,cnt,1,2016,0,1,0,0,1
Harris SDA,mcn,0,cnt,1,2017,0,0,0,2,0
Harris SDA,mcn,0,cnt,1,2018,4,0,0,0,4
Harris SDA,mcn,0,cnt,0,2013,5,2,0,0,7
Harris SDA,mcn,0,cnt,0,2014,9,1,4,0,14
Harris SDA,mcn,0,cnt,0,2015,9,15,7,1,31
Harris SDA,mcn,0,cnt,0,2016,15,58,14,1,87
Harris SDA,mcn,0,cnt,0,2017,40,48,10,4,98
Harris SDA,mcn,0,cnt,0,2018,33,50,16,3,99
Harris SDA,mcn,1,cnt,1,2013,0,0,1,0,1
Harris SDA,mcn,1,cnt,1,2014,1,0,0,0,1
Harris SDA,mcn,1,cnt,1,2015,1,1,0,0,2
Harris SDA,mcn,1,cnt,1,2016,1,0,0,1,1
Harris SDA,mcn,1,cnt,1,2017,1,0,0,1,1
Harris SDA,mcn,1,cnt,1,2018,2,2,0,0,4
Harris SDA,mcn,1,cnt,0,2013,5,5,0,1,10
Harris SDA,mcn,1,cnt,0,2014,11,5,2,0,18
Harris SDA,mcn,1,cnt,0,2015,19,13,10,0,42
Harris SDA,mcn,1,cnt,0,2016,26,68,20,3,114
Harris SDA,mcn,1,cnt,0,2017,35,43,16,6,94
Harris SDA,mcn,1,cnt,0,2018,24,67,14,8,105
Harris SDA,med,0,cost,1,2013,1126.2783725,805.99804977,1203.301381,2560.4838067,3408.0533187
Harris SDA,med,0,cost,1,2014,833.69672405,704.03110491,1531.0094874,2430.0593802,5125.0049351
Harris SDA,med,0,cost,1,2015,902.89361743,800.31820423,512.60970543,1744.8336465,3249.3575633
Harris SDA,med,0,cost,1,2016,872.70407076,774.83526202,914.05674748,894.08186423,4150.3649454
Harris SDA,med,0,cost,1,2017,892.44715446,792.2199515,632.62269559,705.27788953,3815.909747
Harris SDA,med,0,cost,1,2018,1011.863172,895.58990298,928.14237814,875.05535282,4277.3109652
Harris SDA,med,0,cost,0,2013,1097.8368587,235.10580808,521.88680727,758.31941114,2991.7261349
Harris SDA,med,0,cost,0,2014,1082.4026993,295.13008082,534.2648698,680.70569724,3080.2744103
Harris SDA,med,0,cost,0,2015,1109.2582121,259.01937537,523.87026579,923.82385233,3100.8647123
Harris SDA,med,0,cost,0,2016,2225.2045753,364.15817229,556.92268365,816.98091744,4280.498381
Harris SDA,med,0,cost,0,2017,2146.8137402,360.45205018,602.79607669,996.81900358,4365.0795038
Harris SDA,med,0,cost,0,2018,2379.8915492,358.45975458,601.25150695,1003.3207109,4532.1265882
Harris SDA,med,1,cost,1,2013,1401.2160058,1018.4617401,1135.6899619,2261.3889966,3770.3606443
Harris SDA,med,1,cost,1,2014,1065.9642312,1046.7075628,728.90442365,1772.2745639,4865.7629439
Harris SDA,med,1,cost,1,2015,982.80728682,1011.8209809,633.73900059,1918.3893644,3720.3147926
Harris SDA,med,1,cost,1,2016,1043.6112918,966.20445687,893.22883288,1183.8505688,4490.5978728
Harris SDA,med,1,cost,1,2017,1264.2443901,959.45172959,647.6329906,982.38736894,4154.5256987
Harris SDA,med,1,cost,1,2018,1362.8469544,919.43744793,954.74870049,1173.6823137,5156.9588387
Harris SDA,med,1,cost,0,2013,998.59621453,242.54030347,627.30608192,731.47313437,3421.9913958
Harris SDA,med,1,cost,0,2014,884.71170999,280.91406133,592.71591252,827.48465999,3141.71014
Harris SDA,med,1,cost,0,2015,1047.7347709,289.49011624,585.58593122,1110.5303268,3325.8465767
Harris SDA,med,1,cost,0,2016,1930.4467225,449.93868932,694.74264283,986.11161816,4480.9168033
Harris SDA,med,1,cost,0,2017,1871.4449903,456.33944449,684.20810822,1024.689038,4463.9423871
Harris SDA,med,1,cost,0,2018,2173.0506844,462.47427608,779.74410638,1021.5671982,4943.1756433
Harris SDA,oip,1,cnt,1,2013,0.136282395,0.0856164384,0.1007751938,0.095480226,0.3330099445
Harris SDA,oip,1,cnt,1,2014,0.1046747967,0.0893089961,0.0520833333,0.0752688172,0.382119731
Harris SDA,oip,1,cnt,1,2015,0.0896551724,0.0757009346,0.0526315789,0.0771144279,0.3412820329
Harris SDA,oip,1,cnt,1,2016,0.0964153276,0.0691056911,0.0361111111,0.0391666667,0.273854352
Harris SDA,oip,1,cnt,1,2017,0.101427868,0.0707282913,0.0502283105,0.0271892655,0.3656887071
Harris SDA,oip,1,cnt,1,2018,0.1053345389,0.0537352556,0.0638297872,0.0259433962,0.388639299
Harris SDA,oip,1,cnt,0,2013,0.0400174134,0.004187812,0.0498207885,0.0626702997,0.2202718298
Harris SDA,oip,1,cnt,0,2014,0.0353120528,0.0050999275,0.0466796558,0.0438596491,0.1948271181
Harris SDA,oip,1,cnt,0,2015,0.0442052334,0.006758034,0.0493202342,0.1038500507,0.2254996778
Harris SDA,oip,1,cnt,0,2016,0.0379259481,0.0067732361,0.0635799215,0.0540772532,0.2315824808
Harris SDA,oip,1,cnt,0,2017,0.0388003862,0.0071367587,0.0571601431,0.0458351697,0.2300562475
Harris SDA,oip,1,cnt,0,2018,0.0301944307,0.0054720831,0.052063309,0.0442211626,0.1880449552
Harris SDA,oip,1,cost,1,2013,744.50313996,576.98420467,392.88833524,803.66324134,1754.6719194
Harris SDA,oip,1,cost,1,2014,537.37127158,611.39935419,274.2782505,678.95711692,2509.1114121
Harris SDA,oip,1,cost,1,2015,489.65473606,513.88285252,113.86783816,579.57002044,1341.0805138
Harris SDA,oip,1,cost,1,2016,540.58084295,544.21504059,112.88897294,16.419283342,1359.4076769
Harris SDA,oip,1,cost,1,2017,683.55106909,510.22979245,192.10168678,13.20486568,1713.6338341
Harris SDA,oip,1,cost,1,2018,690.31584917,384.16676985,300.10417334,19.747090903,2001.0814787
Harris SDA,oip,1,cost,0,2013,401.09442867,41.516302996,267.95127226,180.51632144,1515.5038086
Harris SDA,oip,1,cost,0,2014,355.28090894,55.875834703,286.25070691,329.12220673,1460.2876244
Harris SDA,oip,1,cost,0,2015,341.52773959,53.38485801,180.42360664,290.84163584,1159.9931561
Harris SDA,oip,1,cost,0,2016,651.65159202,124.95091552,265.94201732,280.22595517,1576.4705005
Harris SDA,oip,1,cost,0,2017,610.80497165,126.8263469,228.17493683,245.33943273,1525.4682746
Harris SDA,oip,1,cost,0,2018,526.12366496,95.574639019,262.3484074,194.4319104,1367.4817148
Harris SDA,out,1,cnt,1,2013,2.8981233244,3.3401826484,2.1976744186,4.3935028249,10.231895716
Harris SDA,out,1,cnt,1,2014,2.5682588076,3.2283789657,1.9453125,3.7494623656,11.50359748
Harris SDA,out,1,cnt,1,2015,2.4574712644,3.5619937695,2.1637426901,5.4726368159,13.172242812
Harris SDA,out,1,cnt,1,2016,2.7200247219,2.9766260163,2.6138888889,5.6608333333,13.035192405
Harris SDA,out,1,cnt,1,2017,2.6514032496,3.3480392157,1.9497716895,4.8354519774,12.621917213
Harris SDA,out,1,cnt,1,2018,2.7534659433,3.1666666667,2.6938534279,6.3553459119,14.731989272
Harris SDA,out,1,cnt,0,2013,2.3415377403,0.9960391138,1.8095878136,3.0435967302,8.4595440527
Harris SDA,out,1,cnt,0,2014,2.1078028747,1.0495495495,1.5576392271,2.298245614,7.5142419182
Harris SDA,out,1,cnt,0,2015,2.5807947666,1.1744959042,1.902699216,3.3698074975,9.0539665939
Harris SDA,out,1,cnt,0,2016,3.7352183805,1.2274219504,1.758068295,2.5886981402,10.1998565
Harris SDA,out,1,cnt,0,2017,3.4624969829,1.2222720871,1.8667403199,2.8514029675,10.003341576
Harris SDA,out,1,cnt,0,2018,3.9187922228,1.2192037234,1.7620947072,3.0261693915,10.564071814
Harris SDA,out,1,cost,1,2013,660.53374154,445.64546627,744.20088279,1459.3987977,2025.220301
Harris SDA,out,1,cost,1,2014,530.88425587,440.46168432,454.7534363,1093.947713,2364.3051164
Harris SDA,out,1,cost,1,2015,494.54745306,504.59235649,519.87116593,1338.8193462,2387.2834194
Harris SDA,out,1,cost,1,2016,505.52654877,425.01123344,780.91030897,1167.4312843,3137.7777085
Harris SDA,out,1,cost,1,2017,582.8340123,451.86246753,455.53129955,969.18250375,2445.6730659
Harris SDA,out,1,cost,1,2018,673.98184605,536.54341642,654.82984553,1153.9352222,3158.8977671
Harris SDA,out,1,cost,0,2013,598.05663487,201.11187124,359.50243394,552.22629248,1907.62776
Harris SDA,out,1,cost,0,2014,530.07908664,225.19230235,307.10271557,507.12306802,1684.5500919
Harris SDA,out,1,cost,0,2015,706.77135781,236.41421029,405.51943739,821.00780819,2168.3011508
Harris SDA,out,1,cost,0,2016,1279.3217869,325.1207638,429.06624348,706.17516895,2905.9136562
Harris SDA,out,1,cost,0,2017,1261.1746954,329.59931049,456.22588614,779.59040904,2939.7451755
Harris SDA,out,1,cost,0,2018,1647.2274499,366.96648586,517.6593818,827.35677218,3576.8008977
Hidalgo SDA,ed,1,cnt,1,2013,0.092379386,0.0413533835,0.1637426901,,0.4538908722
Hidalgo SDA,ed,1,cnt,1,2014,0.0903263403,0.0545798898,0.1747311828,0.1238738739,0.966810992
Hidalgo SDA,ed,1,cnt,1,2015,0.1209150327,0.0584335492,0.1741854637,0.0498955068,0.9246917191
Hidalgo SDA,ed,1,cnt,1,2016,0.1114543115,0.0605048255,0.1560283688,0.0690435767,0.6680250708
Hidalgo SDA,ed,1,cnt,1,2017,0.1065852003,0.0570747877,0.1294642857,0.0636113805,0.5328533338
Hidalgo SDA,ed,1,cnt,1,2018,0.1127292341,0.0569276581,0.1856435644,0.0683526012,0.8522863542
Hidalgo SDA,ed,1,cnt,0,2013,0.0603816219,0.0408187695,0.0682730924,0.1575757576,0.3920266355
Hidalgo SDA,ed,1,cnt,0,2014,0.0589085072,0.0376909592,0.056084027,0.0577458256,0.3022708951
Hidalgo SDA,ed,1,cnt,0,2015,0.0883695544,0.0598078197,0.1204270686,0.0599631768,0.5339054931
Hidalgo SDA,ed,1,cnt,0,2016,0.089090065,0.0577244508,0.1281812539,0.0624498364,0.5180921229
Hidalgo SDA,ed,1,cnt,0,2017,0.089640884,0.0587390762,0.1119736533,0.0658989123,0.5647705626
Hidalgo SDA,ed,1,cnt,0,2018,0.1029950442,0.0640754451,0.1180464301,0.0611784412,0.5629489476
Hidalgo SDA,ed,1,cost,1,2013,44.020740245,17.021639554,50.76599422,,153.24644453
Hidalgo SDA,ed,1,cost,1,2014,46.549236763,22.146943902,103.47575391,19.145045457,544.86218677
Hidalgo SDA,ed,1,cost,1,2015,57.163418975,27.493420997,82.605652255,7.1363349142,302.90697988
Hidalgo SDA,ed,1,cost,1,2016,59.056399019,26.176232387,56.85425521,10.279262911,268.00536175
Hidalgo SDA,ed,1,cost,1,2017,62.760222533,27.612442681,52.487083395,8.8003201051,250.02498264
Hidalgo SDA,ed,1,cost,1,2018,71.193117384,31.743952457,110.80750852,8.6677422807,493.81930618
Hidalgo SDA,ed,1,cost,0,2013,28.693259237,19.391422524,19.675490321,24.067242369,154.63504967
Hidalgo SDA,ed,1,cost,0,2014,28.416918611,17.717530706,14.94609799,15.331052185,115.48262778
Hidalgo SDA,ed,1,cost,0,2015,43.701094653,33.910994797,44.988232888,16.867023572,247.27983884
Hidalgo SDA,ed,1,cost,0,2016,50.330159164,40.468952727,45.861542495,19.324275821,255.81602749
Hidalgo SDA,ed,1,cost,0,2017,71.000812821,39.7594425,42.484807074,19.692635828,329.70179593
Hidalgo SDA,ed,1,cost,0,2018,104.17018223,64.763574698,53.181729111,23.078448402,436.80266493
Hidalgo SDA,inp,0,cnt,1,2013,0.0594846491,0.0263157895,0.0906432749,,0.2643248128
Hidalgo SDA,inp,0,cnt,1,2014,0.0361305361,0.0201446281,0.0430107527,0.0653153153,0.258021196
Hidalgo SDA,inp,0,cnt,1,2015,0.0477626948,0.0238976257,0.0325814536,0.0360501567,0.1670034577
Hidalgo SDA,inp,0,cnt,1,2016,0.0341055341,0.0164563227,0.0439716312,0.0308432371,0.1813053986
Hidalgo SDA,inp,0,cnt,1,2017,0.0347929396,0.016055521,0.037202381,0.0330585192,0.2284261442
Hidalgo SDA,inp,0,cnt,1,2018,0.0390147429,0.0192678227,0.0478547855,0.0333333333,0.3105450091
Hidalgo SDA,inp,0,cnt,0,2013,0.0251903925,0.0098555582,0.0264390897,0.1,0.1164586466
Hidalgo SDA,inp,0,cnt,0,2014,0.0281968967,0.0102679689,0.027150218,0.0326221398,0.1252365201
Hidalgo SDA,inp,0,cnt,0,2015,0.0394462638,0.0120526839,0.0353273669,0.0315507574,0.1508344509
Hidalgo SDA,inp,0,cnt,0,2016,0.0433611885,0.0098794174,0.0407614318,0.028431191,0.1665540126
Hidalgo SDA,inp,0,cnt,0,2017,0.0384438306,0.009082397,0.0330510468,0.0278784863,0.1608167027
Hidalgo SDA,inp,0,cnt,0,2018,0.0381922,0.0093718785,0.032303986,0.024800473,0.136287836
Hidalgo SDA,inp,0,cost,1,2013,279.16077303,118.17440894,249.05508772,,836.15885785
Hidalgo SDA,inp,0,cost,1,2014,127.35199009,82.690857438,126.86448925,17.345022523,886.63745229
Hidalgo SDA,inp,0,cost,1,2015,227.91635998,95.655619796,133.45383459,16.428759143,691.02035968
Hidalgo SDA,inp,0,cost,1,2016,146.16388932,66.865947785,91.345723404,13.86413554,514.85110153
Hidalgo SDA,inp,0,cost,1,2017,126.30649525,77.239275948,143.78726935,17.124544132,942.7883599
Hidalgo SDA,inp,0,cost,1,2018,177.70075153,78.996830443,146.45256601,14.779447013,1694.2662633
Hidalgo SDA,inp,0,cost,0,2013,468.00293372,74.172801053,57.637188755,288.3490303,821.83654117
Hidalgo SDA,inp,0,cost,0,2014,670.80373729,101.86911032,60.075126833,57.17879329,1079.3887811
Hidalgo SDA,inp,0,cost,0,2015,871.42239704,114.35702783,89.564093264,59.615851117,1375.5369712
Hidalgo SDA,inp,0,cost,0,2016,1201.9761045,97.574367538,96.83117215,74.41084954,1706.5112056
Hidalgo SDA,inp,0,cost,0,2017,1049.0767316,150.14339482,122.33256998,64.791648539,1731.1731459
Hidalgo SDA,inp,0,cost,0,2018,784.40676524,157.79509372,91.632739816,64.365503793,1336.2463357
Hidalgo SDA,inp,1,cnt,1,2013,0.0627741228,0.0340434419,0.1286549708,,0.5113981532
Hidalgo SDA,inp,1,cnt,1,2014,0.0486596737,0.0282369146,0.0591397849,0.0608108108,0.4430870645
Hidalgo SDA,inp,1,cnt,1,2015,0.0429864253,0.0345359235,0.0576441103,0.0433646813,0.2630615646
Hidalgo SDA,inp,1,cnt,1,2016,0.0422136422,0.0219005197,0.0468085106,0.0373514431,0.2396690244
Hidalgo SDA,inp,1,cnt,1,2017,0.0397148676,0.0277605138,0.0416666667,0.0378273521,0.1973051052
Hidalgo SDA,inp,1,cnt,1,2018,0.0433297375,0.0203187949,0.047029703,0.034344894,0.1939126038
Hidalgo SDA,inp,1,cnt,0,2013,0.0226797222,0.0107333812,0.0364792503,0.0787878788,0.183922168
Hidalgo SDA,inp,1,cnt,0,2014,0.0206527555,0.009391435,0.0340864051,0.0323129252,0.1656025535
Hidalgo SDA,inp,1,cnt,0,2015,0.0397439714,0.017602717,0.0645313236,0.0330571596,0.2726365017
Hidalgo SDA,inp,1,cnt,0,2016,0.0426183844,0.0156399236,0.0662114629,0.030561215,0.2838565697
Hidalgo SDA,inp,1,cnt,0,2017,0.0335635359,0.0140761548,0.0469301341,0.0300940736,0.2555841739
Hidalgo SDA,inp,1,cnt,0,2018,0.0361452273,0.0122510136,0.0551905388,0.0270371465,0.2322842803
Hidalgo SDA,inp,1,cost,1,2013,181.61822917,132.51389724,300.71423977,,1235.7099591
Hidalgo SDA,inp,1,cost,1,2014,173.73623543,117.71432851,116.30145161,10.244031532,1113.6358243
Hidalgo SDA,inp,1,cost,1,2015,115.16887381,115.77831637,222.38740602,21.474064786,823.8087441
Hidalgo SDA,inp,1,cost,1,2016,146.24005405,89.757521653,167.99297872,20.538114035,818.48425488
Hidalgo SDA,inp,1,cost,1,2017,150.12795316,104.0329594,174.68670387,14.855742806,730.76877578
Hidalgo SDA,inp,1,cost,1,2018,194.84029126,88.187958487,168.16645215,14.636523121,822.01959614
Hidalgo SDA,inp,1,cost,0,2013,248.61573856,83.468443061,59.272866466,87.497909091,880.06654052
Hidalgo SDA,inp,1,cost,0,2014,314.90155752,79.698629477,71.932047166,52.542511596,980.96523829
Hidalgo SDA,inp,1,cost,0,2015,389.16643346,167.08144632,125.93298948,49.282881831,1186.6261546
Hidalgo SDA,inp,1,cost,0,2016,636.26177994,187.11384999,136.74027209,77.010159906,1548.3863249
Hidalgo SDA,inp,1,cost,0,2017,518.7299825,178.96958677,148.43071277,57.172601597,1757.7313739
Hidalgo SDA,inp,1,cost,0,2018,532.40946779,168.57087667,111.22371332,49.684690019,1396.0091816
Hidalgo SDA,mce,0,cnt,1,2013,0,0,0,,0
Hidalgo SDA,mce,0,cnt,1,2014,0.0002913753,0.0001721763,0,0,0.0004635516
