SDA,type,post,meas,treat,sfy,rgrp4,rgrp3,rgrp6,tot_tvst
Jefferson SDA,all,-1,nclient,0,2018,2116.0,3089.0,914.0,6114.0
Lubbock SDA,all,-1,nclient,1,2013,33.0,47.0,,82.0
Lubbock SDA,all,-1,nclient,1,2014,87.0,132.0,15.0,229.0
Lubbock SDA,all,-1,nclient,1,2015,127.0,129.0,22.0,271.0
Lubbock SDA,all,-1,nclient,1,2016,68.0,105.0,56.0,195.0
Lubbock SDA,all,-1,nclient,1,2017,151.0,133.0,33.0,311.0
Lubbock SDA,all,-1,nclient,1,2018,215.0,181.0,19.0,427.0
Lubbock SDA,all,-1,nclient,0,2013,679.0,414.0,,1236.0
Lubbock SDA,all,-1,nclient,0,2014,1121.0,433.0,118.0,1792.0
Lubbock SDA,all,-1,nclient,0,2015,945.0,839.0,133.0,2085.0
Lubbock SDA,all,-1,nclient,0,2016,1189.0,1031.0,189.0,2796.0
Lubbock SDA,all,-1,nclient,0,2017,2410.0,2516.0,148.0,6338.0
Lubbock SDA,all,-1,nclient,0,2018,2017.0,2105.0,82.0,5221.0
MRSA Central,all,-1,nclient,1,2013,486.0,356.0,,869.0
MRSA Central,all,-1,nclient,1,2014,421.0,436.0,,882.0
MRSA Central,all,-1,nclient,1,2015,546.0,411.0,,1013.0
MRSA Central,all,-1,nclient,1,2016,534.0,461.0,,1053.0
MRSA Central,all,-1,nclient,1,2017,559.0,462.0,,1105.0
MRSA Central,all,-1,nclient,1,2018,450.0,541.0,9.0,1056.0
MRSA Central,all,-1,nclient,0,2013,2075.0,1198.0,17.0,3754.0
MRSA Central,all,-1,nclient,0,2014,2026.0,1251.0,17.0,3894.0
MRSA Central,all,-1,nclient,0,2015,6536.0,10674.0,60.0,20965.0
MRSA Central,all,-1,nclient,0,2016,6279.0,10541.0,88.0,20727.0
MRSA Central,all,-1,nclient,0,2017,2069.0,1796.0,35.0,4618.0
MRSA Central,all,-1,nclient,0,2018,8368.0,13630.0,77.0,26936.0
MRSA Northeast,all,-1,nclient,1,2013,425.0,375.0,,828.0
MRSA Northeast,all,-1,nclient,1,2014,421.0,472.0,,927.0
MRSA Northeast,all,-1,nclient,1,2015,738.0,481.0,,1323.0
MRSA Northeast,all,-1,nclient,1,2016,845.0,562.0,,1554.0
MRSA Northeast,all,-1,nclient,1,2017,587.0,558.0,13.0,1297.0
MRSA Northeast,all,-1,nclient,1,2018,757.0,668.0,24.0,1550.0
MRSA Northeast,all,-1,nclient,0,2013,2949.0,1269.0,6.0,4613.0
MRSA Northeast,all,-1,nclient,0,2014,3203.0,1500.0,,5103.0
MRSA Northeast,all,-1,nclient,0,2015,3796.0,3351.0,170.0,8230.0
MRSA Northeast,all,-1,nclient,0,2016,4451.0,3668.0,29.0,9933.0
MRSA Northeast,all,-1,nclient,0,2017,5327.0,5456.0,169.0,13083.0
MRSA Northeast,all,-1,nclient,0,2018,7386.0,8203.0,133.0,18840.0
MRSA West,all,-1,nclient,1,2013,591.0,409.0,,1044.0
MRSA West,all,-1,nclient,1,2014,569.0,512.0,8.0,1122.0
MRSA West,all,-1,nclient,1,2015,691.0,679.0,11.0,1494.0
MRSA West,all,-1,nclient,1,2016,988.0,770.0,49.0,1881.0
MRSA West,all,-1,nclient,1,2017,627.0,773.0,76.0,1527.0
MRSA West,all,-1,nclient,1,2018,734.0,1061.0,267.0,2016.0
MRSA West,all,-1,nclient,0,2013,2842.0,3070.0,24.0,6904.0
MRSA West,all,-1,nclient,0,2014,3425.0,3214.0,68.0,7689.0
MRSA West,all,-1,nclient,0,2015,3015.0,3958.0,172.0,9078.0
MRSA West,all,-1,nclient,0,2016,3408.0,3695.0,107.0,9764.0
MRSA West,all,-1,nclient,0,2017,4481.0,5904.0,294.0,13973.0
MRSA West,all,-1,nclient,0,2018,4441.0,7108.0,548.0,15249.0
Nueces SDA,all,-1,nclient,1,2013,47.0,25.0,,80.0
Nueces SDA,all,-1,nclient,1,2014,39.0,75.0,,125.0
Nueces SDA,all,-1,nclient,1,2015,24.0,144.0,277.0,180.0
Nueces SDA,all,-1,nclient,1,2016,83.0,182.0,132.0,304.0
Nueces SDA,all,-1,nclient,1,2017,152.0,241.0,193.0,466.0
Nueces SDA,all,-1,nclient,1,2018,169.0,193.0,102.0,421.0
Nueces SDA,all,-1,nclient,0,2013,2791.0,5215.0,,8208.0
Nueces SDA,all,-1,nclient,0,2014,2918.0,5452.0,106.0,8660.0
Nueces SDA,all,-1,nclient,0,2015,3029.0,6576.0,968.0,10191.0
Nueces SDA,all,-1,nclient,0,2016,2967.0,7676.0,1169.0,11114.0
Nueces SDA,all,-1,nclient,0,2017,2605.0,7629.0,1673.0,10799.0
Nueces SDA,all,-1,nclient,0,2018,2374.0,4685.0,1948.0,7731.0
Tarrant SDA,all,-1,nclient,1,2013,136.0,132.0,24.0,278.0
Tarrant SDA,all,-1,nclient,1,2014,152.0,191.0,115.0,354.0
Tarrant SDA,all,-1,nclient,1,2015,427.0,535.0,91.0,1009.0
Tarrant SDA,all,-1,nclient,1,2016,415.0,299.0,35.0,742.0
Tarrant SDA,all,-1,nclient,1,2017,304.0,282.0,83.0,622.0
Tarrant SDA,all,-1,nclient,1,2018,400.0,486.0,95.0,928.0
Tarrant SDA,all,-1,nclient,0,2013,2780.0,4956.0,1426.0,7851.0
Tarrant SDA,all,-1,nclient,0,2014,5417.0,14275.0,1384.0,19936.0
Tarrant SDA,all,-1,nclient,0,2015,3219.0,6799.0,2856.0,10295.0
Tarrant SDA,all,-1,nclient,0,2016,3686.0,8242.0,54.0,12482.0
Tarrant SDA,all,-1,nclient,0,2017,5673.0,27779.0,191.0,35171.0
Tarrant SDA,all,-1,nclient,0,2018,7117.0,25862.0,347.0,33869.0
Texas,all,-1,nclient,1,2013,4287.0,3525.0,770.0,8085.0
Texas,all,-1,nclient,1,2014,4736.0,4444.0,475.0,9543.0
Texas,all,-1,nclient,1,2015,6110.0,5534.0,1221.0,12403.0
Texas,all,-1,nclient,1,2016,6773.0,5431.0,1748.0,13171.0
Texas,all,-1,nclient,1,2017,7133.0,7493.0,3619.0,15704.0
Texas,all,-1,nclient,1,2018,7792.0,8920.0,4791.0,17990.0
Texas,all,-1,nclient,0,2013,34542.0,38913.0,1999.0,82219.0
Texas,all,-1,nclient,0,2014,43136.0,53168.0,3945.0,106584.0
Texas,all,-1,nclient,0,2015,52611.0,74215.0,10948.0,149410.0
Texas,all,-1,nclient,0,2016,60757.0,118742.0,9487.0,207496.0
Texas,all,-1,nclient,0,2017,73783.0,157810.0,21254.0,261204.0
Texas,all,-1,nclient,0,2018,91921.0,198450.0,27390.0,330174.0
Travis SDA,all,-1,nclient,1,2013,391.0,185.0,,599.0
Travis SDA,all,-1,nclient,1,2014,658.0,250.0,29.0,961.0
